id,nodes,version
3904107,5,1
3904108,5,1
3904109,4,1
3904110,3,1
3904111,15,1
3904112,5,1
3904113,4,1
3904114,5,1
3904115,15,1
3904117,3,1
3904118,2,1
3904119,2,1
3904120,4,1
3904121,5,1
3904122,12,1
3904123,2,1
3904124,5,1
3904125,6,1
3904126,2,1
3904127,11,1
3904130,2,1
3904131,8,1
3904132,4,1
3904134,4,1
3904136,2,1
3904137,2,1
3904139,15,1
3904140,4,1
3904141,11,1
3904142,4,1
3904143,2,1
3904144,3,1
3904145,23,1
3904146,2,1
3904147,7,1
3904148,5,1
3904149,11,1
3904150,11,1
3904151,2,1
3904152,2,1
3904153,5,1
3904154,6,1
3904155,9,1
3904157,3,1
3904158,5,1
3904159,4,1
3904738,18,1
3904739,6,1
3904740,7,1
3904741,11,1
3904742,10,1
3904745,5,1
3904747,5,1
3904749,3,1
3905471,3,1
3905865,3,1
3905963,11,1
3906108,28,1
3906216,7,1
3906218,30,1
3906573,18,1
3906781,13,1
3906784,20,1
3906791,8,1
3959562,11,1
3959563,26,1
3959564,2,1
3959565,3,1
3959566,3,1
3959567,20,1
3959568,2,1
3959569,3,1
3959570,2,1
3959571,2,1
3959572,9,1
3959573,3,1
3959574,7,1
3959575,2,1
3959576,2,1
3959579,7,1
3959580,2,1
3959581,2,1
3959582,5,1
3959584,2,1
3959588,2,1
3959589,3,1
3959590,16,1
3959594,2,1
3959595,4,1
3959596,3,1
3959597,5,1
3959599,9,1
3959600,8,1
3959601,7,1
3959603,4,1
3959604,2,1
3959605,4,1
3959606,2,1
3959607,4,1
3959609,4,1
3959610,2,1
3959617,2,1
3959618,3,1
3959620,4,1
3959621,28,1
3959622,9,1
3959623,9,1
3959624,3,1
3959625,2,1
3959627,3,1
3959629,9,1
3959630,25,1
3986517,13,1
3986537,7,1
3986538,4,1
3986744,2,1
3986745,4,1
3986746,4,1
3986748,4,1
3986749,3,1
3986750,2,1
3986751,10,1
3986753,5,1
3986755,10,1
3986756,3,1
3986757,4,1
3986759,3,1
3986760,4,1
3986762,7,1
3986763,3,1
3986765,2,1
3986766,5,1
3986767,3,1
3986768,8,1
3986770,26,1
3986772,5,1
3986773,5,1
3986774,8,1
3986777,9,1
3986778,2,1
3986781,7,1
3986786,3,1
3986787,3,1
3986788,4,1
3986790,3,1
3986791,6,1
3986792,6,1
3986793,10,1
3986794,6,1
3986795,2,1
3986796,17,1
3986798,2,1
3986799,4,1
3986800,8,1
3986801,3,1
3986802,6,1
3986803,4,1
3986804,6,1
3986805,8,1
3986806,7,1
3986808,2,1
3986809,5,1
3986813,2,1
3986814,11,1
3986815,2,1
3986816,2,1
3986819,3,1
3986821,3,1
3986822,2,1
3986823,5,1
3986825,4,1
3986826,10,1
3986827,5,1
3986830,2,1
3986835,4,1
3986836,5,1
3986837,2,1
3986838,2,1
3986839,2,1
3986840,2,1
3986841,4,1
3986843,3,1
3986844,3,1
3986845,2,1
3986846,5,1
3986849,2,1
3986850,5,1
3986851,4,1
3986853,4,1
3986856,3,1
3986857,5,1
3986864,9,1
3986869,2,1
3986872,2,1
3986873,2,1
3986874,3,1
3986880,7,1
3986897,13,1
3986898,4,1
3986899,4,1
3986900,4,1
3986901,7,1
3986903,6,1
3986904,5,1
3986905,6,1
3986906,12,1
3986907,4,1
3986908,6,1
3986909,15,1
3986910,2,1
3986911,10,1
3986913,2,1
3986915,4,1
3986917,11,1
3986918,3,1
3986919,4,1
3986922,4,1
3986924,4,1
3986930,3,1
3986931,6,1
3986932,7,1
3987006,13,1
3987007,4,1
3987008,3,1
3987009,7,1
3987011,3,1
3987012,24,1
3987013,3,1
3987015,3,1
3987016,14,1
3987017,3,1
3987018,17,1
3987020,2,1
3987021,5,1
3987022,3,1
3987024,2,1
3987025,3,1
3987026,6,1
3987027,2,1
3987028,2,1
3987029,3,1
3987030,2,1
3987031,3,1
3987033,13,1
3987034,4,1
3987035,3,1
3987038,2,1
3987039,2,1
3987040,5,1
3987041,4,1
3987042,3,1
3987043,6,1
3987044,2,1
3987046,2,1
3987047,27,1
3987049,5,1
3987050,3,1
3987053,2,1
3987054,6,1
3987055,10,1
3987056,4,1
3987057,5,1
3987059,7,1
3987060,6,1
3987061,2,1
3987062,4,1
3987063,3,1
3987064,2,1
3987065,2,1
3987066,2,1
3987067,3,1
3987068,4,1
3987069,3,1
3987070,4,1
3987071,5,1
3987072,2,1
3987074,12,1
3987075,7,1
3987076,7,1
3987077,6,1
3987078,2,1
3987079,2,1
3987080,2,1
3987082,2,1
3987083,4,1
3987084,2,1
3987085,2,1
3987086,5,1
3987087,3,1
3987088,2,1
3987089,2,1
3987091,23,1
3987092,2,1
3987093,6,1
3987094,3,1
3987096,5,1
3987097,5,1
3987098,5,1
3987099,13,1
3987100,5,1
3987101,5,1
3987102,5,1
3987103,5,1
3987104,11,1
3987106,5,1
3987107,8,1
3987108,25,1
3987109,8,1
3987110,10,1
3987111,5,1
3987112,14,1
3987113,5,1
3987120,2,1
3987121,2,1
3987135,11,1
3987141,6,1
3987142,2,1
3987145,7,1
3987146,4,1
3987147,3,1
3987151,22,1
3987152,3,1
3987153,3,1
3987154,10,1
3987157,7,1
3987159,8,1
3992966,4,1
3992967,4,1
3992968,3,1
3992970,6,1
3992971,2,1
3992972,6,1
3992974,3,1
3992975,3,1
3992976,8,1
3992978,2,1
3992980,4,1
3992984,3,1
3992986,8,1
3992988,2,1
3992990,6,1
3992992,2,1
3992993,3,1
3992994,3,1
3992995,2,1
3992997,4,1
3992999,4,1
3993002,5,1
3993003,5,1
3993004,7,1
3993005,5,1
3993006,4,1
3993007,6,1
3993008,5,1
3993009,6,1
3993010,5,1
3993011,6,1
3993012,16,1
3993016,8,1
3993017,4,1
3993019,7,1
3993020,2,1
3993026,6,1
3993027,6,1
3993029,6,1
3993033,2,1
3993037,3,1
3993038,3,1
3993043,9,1
3993044,3,1
3993045,3,1
3993047,3,1
3993048,7,1
3993051,4,1
3993052,3,1
3993055,6,1
3993056,4,1
3993059,5,1
3993061,3,1
3993062,2,1
3993063,3,1
3993065,11,1
3993066,3,1
3993069,12,1
3993075,3,1
3993079,9,1
3993080,5,1
3993082,6,1
3993083,5,1
3993085,4,1
3993086,4,1
3993087,2,1
3993088,6,1
3993089,20,1
3993090,6,1
3993092,21,1
3993093,2,1
3993095,2,1
3993096,13,1
3993097,4,1
3993098,12,1
3993099,2,1
3993100,23,1
3993102,6,1
3993103,12,1
3993113,5,1
3993115,5,1
3993118,2,1
3993119,99,1
3993123,104,1
3993125,6,1
3993126,8,1
3993178,7,1
3993179,2,1
3993180,5,1
3993181,12,1
3993183,3,1
3993184,16,1
3993185,2,1
3994543,8,1
3994544,5,1
3994545,2,1
3994546,7,1
3994547,4,1
3994548,8,1
3994549,6,1
3994550,3,1
3994551,8,1
3994553,12,1
3994554,3,1
3994555,5,1
3994556,3,1
3994557,3,1
3994558,2,1
3994559,2,1
3994561,11,1
3994562,4,1
3994565,2,1
3994566,10,1
3994567,9,1
3994568,4,1
3994569,2,1
3994570,5,1
3994571,7,1
3994572,7,1
3994573,2,1
3994574,7,1
3994575,5,1
3994576,15,1
3994577,2,1
3994578,6,1
3994580,2,1
3994581,13,1
3994582,6,1
3994583,7,1
3994585,24,1
3994586,5,1
3994587,8,1
3994588,3,1
3994589,3,1
3994590,20,1
3994592,13,1
3994593,10,1
3994594,22,1
3994597,6,1
3994598,19,1
3994599,11,1
3994600,13,1
3994602,9,1
3994603,2,1
3994604,2,1
3994605,3,1
3994606,2,1
3994607,12,1
3994608,6,1
3994609,3,1
3994610,2,1
3994612,2,1
3994613,7,1
3994614,7,1
3994615,4,1
3994616,19,1
3994617,2,1
3994619,4,1
3994620,2,1
3994621,2,1
3994622,3,1
3994623,4,1
3994624,11,1
3994625,2,1
3994626,20,1
3994631,7,1
3994632,18,1
3994633,3,1
3994635,3,1
3994636,2,1
3994637,3,1
3994638,2,1
3994639,5,1
3994640,4,1
3994641,4,1
3994642,3,1
3994643,4,1
3994644,5,1
3994645,4,1
3994646,3,1
3994647,12,1
3994648,2,1
3994649,4,1
